"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPLP1",8.72745708822145e-97,0.284003691534214,0.221,0.123,2.38102484280858e-92,"microglia-macrophages","RPLP1"
"DLEU2",1.23767867661875e-96,0.303520854574828,0.382,0.26,3.37663496555128e-92,"microglia-macrophages","DLEU2"
"ACTB",1.01060783593613e-93,0.29250192181929,0.376,0.259,2.75714029800095e-89,"microglia-macrophages","ACTB"
"ITM2B",2.14630211128775e-93,0.258342330763983,0.295,0.186,5.85554142001523e-89,"microglia-macrophages","ITM2B"
"TBC1D5",3.36396975624999e-93,0.343877117740146,0.455,0.353,9.17758228900123e-89,"microglia-macrophages","TBC1D5"
"NIPBL",2.79071615933562e-88,0.265849104434549,0.34,0.229,7.61363182589944e-84,"microglia-macrophages","NIPBL"
"FHIT",5.00497611286794e-87,0.349324806435076,0.508,0.402,1.36545758311263e-82,"microglia-macrophages","FHIT"
"ZEB2",7.0119507904546e-75,0.294644022747137,0.561,0.451,1.91300041465182e-70,"microglia-macrophages","ZEB2"
"SLC26A3",2.59888004726469e-74,0.313609842912721,0.821,0.757,7.09026454494753e-70,"microglia-macrophages","SLC26A3"
"RPLP2",8.17591763233295e-74,0.310364236651619,0.211,0.127,2.23055384845307e-69,"microglia-macrophages","RPLP2"
"RASAL2",4.30414447724807e-72,0.289724994358563,0.333,0.24,1.17425669628282e-67,"microglia-macrophages","RASAL2"
"CHD91",1.32456250804977e-66,0.267111149929169,0.363,0.272,3.61367143446138e-62,"microglia-macrophages","CHD9"
"SBF2",1.0890034787772e-65,0.257967305754824,0.343,0.252,2.97101929079997e-61,"microglia-macrophages","SBF2"
"IMMP2L",1.89620808464336e-61,0.318978578862263,0.377,0.293,5.17323489652403e-57,"microglia-macrophages","IMMP2L"
"MYO1E",3.57962822416631e-61,0.255134338761978,0.215,0.135,9.76594172117054e-57,"microglia-macrophages","MYO1E"
"OXR1",5.18617907666027e-60,0.293294769627897,0.405,0.31,1.41489337569446e-55,"microglia-macrophages","OXR1"
"EPB41L3",8.25608768495586e-58,0.253219596062945,0.243,0.164,2.25242584220966e-53,"microglia-macrophages","EPB41L3"
"NAV32",2.37953020292933e-50,0.296383265349199,0.56,0.491,6.49183429963179e-46,"microglia-macrophages","NAV3"
"DPYD",1.19237370963894e-15,0.27912133540997,0.451,0.438,3.25303395463694e-11,"microglia-macrophages","DPYD"
"PLP1",0,2.32317082787833,0.881,0.092,0,"Oligodendrocytes","PLP1"
"CTNNA3",0,2.31202418295559,0.897,0.105,0,"Oligodendrocytes","CTNNA3"
"ST18",0,2.09993697812246,0.841,0.048,0,"Oligodendrocytes","ST18"
"IL1RAPL1",0,1.80121540244005,0.992,0.686,0,"Oligodendrocytes","IL1RAPL1"
"SLC44A1",0,1.78430194029602,0.842,0.145,0,"Oligodendrocytes","SLC44A1"
"RNF220",0,1.74548187737997,0.785,0.063,0,"Oligodendrocytes","RNF220"
"PIP4K2A",0,1.69061059855722,0.811,0.116,0,"Oligodendrocytes","PIP4K2A"
"MBP",0,1.66607742840544,0.782,0.081,0,"Oligodendrocytes","MBP"
"SLC24A2",0,1.50638425293764,0.803,0.256,0,"Oligodendrocytes","SLC24A2"
"PDE4B",0,1.45916627187541,0.853,0.367,0,"Oligodendrocytes","PDE4B"
"QKI",0,1.45094760046867,0.927,0.475,0,"Oligodendrocytes","QKI"
"MAN2A1",0,1.43702745918869,0.712,0.123,0,"Oligodendrocytes","MAN2A1"
"TMEM144",0,1.42884021355848,0.679,0.047,0,"Oligodendrocytes","TMEM144"
"TMTC2",0,1.40110369980812,0.758,0.193,0,"Oligodendrocytes","TMTC2"
"EDIL3",0,1.36425456105109,0.774,0.222,0,"Oligodendrocytes","EDIL3"
"PLCL1",0,1.35226479341351,0.698,0.167,0,"Oligodendrocytes","PLCL1"
"PHLPP1",0,1.26752018171694,0.727,0.189,0,"Oligodendrocytes","PHLPP1"
"AC026316.5",0,1.26716459291471,0.581,0.027,0,"Oligodendrocytes","AC026316.5"
"FRMD5",0,1.25279065263556,0.803,0.351,0,"Oligodendrocytes","FRMD5"
"TTLL7",0,1.25063845771779,0.675,0.16,0,"Oligodendrocytes","TTLL7"
"SIK3",0,1.23318141231278,0.791,0.379,0,"Oligodendrocytes","SIK3"
"PPP2R2B",0,1.20949760091291,0.866,0.616,0,"Oligodendrocytes","PPP2R2B"
"GPM6B",0,1.20863606468028,0.76,0.295,0,"Oligodendrocytes","GPM6B"
"SHTN1",0,1.20623502780362,0.687,0.127,0,"Oligodendrocytes","SHTN1"
"ELMO11",0,1.20581751559036,0.738,0.168,0,"Oligodendrocytes","ELMO1"
"DOCK10",0,1.17305875528252,0.711,0.184,0,"Oligodendrocytes","DOCK10"
"UNC5C",0,1.15286871897386,0.667,0.231,0,"Oligodendrocytes","UNC5C"
"MOBP",0,1.13892232326774,0.558,0.022,0,"Oligodendrocytes","MOBP"
"ERBIN",0,1.10740679187234,0.67,0.19,0,"Oligodendrocytes","ERBIN"
"MAP7",0,1.09661073532234,0.676,0.196,0,"Oligodendrocytes","MAP7"
"PRUNE2",0,1.0959609960033,0.595,0.07,0,"Oligodendrocytes","PRUNE2"
"FRYL",0,1.04417991552662,0.621,0.126,0,"Oligodendrocytes","FRYL"
"NCAM2",0,1.04057467751738,0.859,0.604,0,"Oligodendrocytes","NCAM2"
"PDE1C",0,1.03048957128991,0.594,0.106,0,"Oligodendrocytes","PDE1C"
"PCDH9",0,1.02964825819776,0.996,0.905,0,"Oligodendrocytes","PCDH9"
"PEX5L",0,1.00783587912126,0.677,0.302,0,"Oligodendrocytes","PEX5L"
"FRMD4B",0,0.997526901489336,0.585,0.081,0,"Oligodendrocytes","FRMD4B"
"DOCK5",0,0.967904034171699,0.562,0.076,0,"Oligodendrocytes","DOCK5"
"SPOCK3",0,0.967306810714781,0.68,0.228,0,"Oligodendrocytes","SPOCK3"
"DNM3",0,0.96644815204322,0.747,0.385,0,"Oligodendrocytes","DNM3"
"TF",0,0.928323044227095,0.511,0.036,0,"Oligodendrocytes","TF"
"TMEM165",0,0.924257103358312,0.546,0.072,0,"Oligodendrocytes","TMEM165"
"DPYD1",0,0.922449054725129,0.663,0.259,0,"Oligodendrocytes","DPYD"
